Date,Watch time (hours)
2023-12-31,6.1798
2024-01-01,4.9996
2024-01-02,5.3203
2024-01-03,4.0367
2024-01-04,4.9185
2024-01-05,9.1756
2024-01-06,4.2669
2024-01-07,35.8594
2024-01-08,15.6242
2024-01-09,11.3692
2024-01-10,15.021
2024-01-11,14.6212
2024-01-12,9.2148
2024-01-13,8.7396
2024-01-14,31.5019
2024-01-15,18.8329
2024-01-16,16.0919
2024-01-17,18.4549
2024-01-18,16.9934
2024-01-19,12.8236
2024-01-20,9.7903
2024-01-21,24.7886
2024-01-22,19.0993
2024-01-23,10.944
2024-01-24,8.6321
2024-01-25,7.3238
2024-01-26,8.3122
2024-01-27,8.4493
2024-01-28,14.0454
2024-01-29,14.2075
2024-01-30,10.7161
2024-01-31,10.7882
2024-02-01,5.8493
2024-02-02,9.2506
2024-02-03,8.876
2024-02-04,19.6237
2024-02-05,14.2575
2024-02-06,11.9191
2024-02-07,9.5675
2024-02-08,6.4166
2024-02-09,9.6612
2024-02-10,5.5399
2024-02-11,18.0324
2024-02-12,9.2339
2024-02-13,10.0558
2024-02-14,8.0802
2024-02-15,7.1516
2024-02-16,6.6843
2024-02-17,5.2447
2024-02-18,25.616
2024-02-19,13.6152
2024-02-20,9.7439
2024-02-21,9.9328
2024-02-22,7.1918
2024-02-23,9.3513
2024-02-24,6.6135
2024-02-25,44.7933
2024-02-26,20.5266
2024-02-27,13.4792
2024-02-28,15.7713
2024-02-29,21.5437
2024-03-01,12.4499
2024-03-02,7.5656
2024-03-03,33.9508
2024-03-04,20.1731
2024-03-05,14.3449
2024-03-06,10.8566
2024-03-07,28.4406
2024-03-08,20.4779
2024-03-09,15.0628
2024-03-10,39.2225
2024-03-11,25.4077
2024-03-12,18.4984
2024-03-13,14.9813
2024-03-14,22.1983
2024-03-15,14.6505
2024-03-16,10.0555
2024-03-17,36.8075
2024-03-18,25.5635
2024-03-19,11.41
2024-03-20,14.161
2024-03-21,16.5374
2024-03-22,12.6511
2024-03-23,10.3913
2024-03-24,34.7692
2024-03-25,17.4336
2024-03-26,13.9251
2024-03-27,13.4721
2024-03-28,27.7374
2024-03-29,30.3631
2024-03-30,14.3813
2024-03-31,13.512
2024-04-01,9.5005
2024-04-02,8.8836
2024-04-03,9.0388
2024-04-04,11.56
2024-04-05,12.6431
2024-04-06,7.0922
2024-04-07,23.9427
2024-04-08,17.4729
2024-04-09,7.9891
2024-04-10,12.559
2024-04-11,13.1067
2024-04-12,9.7511
2024-04-13,9.0648
2024-04-14,9.8509
2024-04-15,10.5038
2024-04-16,7.692
2024-04-17,7.3504
2024-04-18,7.1682
2024-04-19,7.6769
2024-04-20,5.5894
2024-04-21,9.5828
2024-04-22,8.832
2024-04-23,7.6
2024-04-24,8.8645
2024-04-25,6.754
2024-04-26,7.2431
2024-04-27,9.8314
2024-04-28,49.5108
2024-04-29,28.3458
2024-04-30,22.8857
2024-05-01,14.834
2024-05-02,13.7715
2024-05-03,14.4039
2024-05-04,13.3059
2024-05-05,20.1164
2024-05-06,14.4609
2024-05-07,17.3388
2024-05-08,12.2199
2024-05-09,13.7517
2024-05-10,10.7004
2024-05-11,9.7389
2024-05-12,37.5819
2024-05-13,30.147
2024-05-14,12.874
2024-05-15,20.1022
2024-05-16,10.1962
2024-05-17,10.5663
2024-05-18,9.2796
2024-05-19,34.9206
2024-05-20,23.709
2024-05-21,13.3127
2024-05-22,14.0519
2024-05-23,11.8086
2024-05-24,10.271
2024-05-25,4.9577
2024-05-26,60.4441
2024-05-27,34.2754
2024-05-28,26.1469
2024-05-29,19.4494
2024-05-30,20.6332
2024-05-31,15.9883
2024-06-01,11.3354
2024-06-02,55.3257
2024-06-03,30.8629
2024-06-04,17.8409
2024-06-05,23.302
2024-06-06,17.1629
2024-06-07,17.7963
2024-06-08,14.0806
2024-06-09,30.6291
2024-06-10,19.5528
2024-06-11,15.439
2024-06-12,17.8579
2024-06-13,16.3499
2024-06-14,22.5248
2024-06-15,16.1598
2024-06-16,40.8829
2024-06-17,31.7393
2024-06-18,24.6586
2024-06-19,23.1607
2024-06-20,20.4667
2024-06-21,14.4021
2024-06-22,10.728
2024-06-23,12.0134
2024-06-24,15.8068
2024-06-25,14.2834
2024-06-26,8.4296
2024-06-27,12.2364
2024-06-28,9.1933
2024-06-29,11.952
2024-06-30,40.4108
2024-07-01,25.4698
2024-07-02,17.1958
2024-07-03,14.4403
2024-07-04,17.214
2024-07-05,11.1124
2024-07-06,12.6463
2024-07-07,51.3334
2024-07-08,32.9139
2024-07-09,19.3208
2024-07-10,22.3289
2024-07-11,16.4797
2024-07-12,14.0561
2024-07-13,15.3243
2024-07-14,13.9054
2024-07-15,15.4536
2024-07-16,12.5229
2024-07-17,16.812
2024-07-18,12.4218
2024-07-19,11.6267
2024-07-20,10.3097
2024-07-21,53.9409
2024-07-22,30.8012
2024-07-23,18.2899
2024-07-24,15.5057
2024-07-25,14.3326
2024-07-26,12.4242
2024-07-27,10.8422
2024-07-28,7.2763
2024-07-29,11.3277
2024-07-30,11.3892
2024-07-31,15.0559
2024-08-01,12.1333
2024-08-02,8.7128
2024-08-03,11.1037
2024-08-04,28.6767
2024-08-05,20.4346
2024-08-06,11.7814
2024-08-07,20.1166
2024-08-08,12.9977
2024-08-09,15.124
2024-08-10,10.2482
2024-08-11,13.3095
2024-08-12,13.7631
2024-08-13,11.2584
2024-08-14,11.9452
2024-08-15,11.7222
2024-08-16,7.85
2024-08-17,10.7539
2024-08-18,42.6943
2024-08-19,26.5113
2024-08-20,19.552
2024-08-21,15.4544
2024-08-22,12.8175
2024-08-23,14.9197
2024-08-24,12.5775
2024-08-25,9.8571
2024-08-26,10.5282
2024-08-27,18.4086
2024-08-28,13.3848
2024-08-29,13.5991
2024-08-30,7.4247
2024-08-31,7.712
2024-09-01,48.2448
2024-09-02,26.4849
2024-09-03,19.902
2024-09-04,24.1527
2024-09-05,14.8694
2024-09-06,18.1467
2024-09-07,9.2002
2024-09-08,13.6281
2024-09-09,11.4491
2024-09-10,12.1998
2024-09-11,16.2517
2024-09-12,10.6904
2024-09-13,12.854
2024-09-14,5.9615
2024-09-15,5.9175
2024-09-16,12.3632
2024-09-17,8.8127
2024-09-18,12.2173
2024-09-19,11.1423
2024-09-20,12.1562
2024-09-21,9.4052
2024-09-22,31.396
2024-09-23,20.7159
2024-09-24,15.8714
2024-09-25,13.5151
2024-09-26,22.5713
2024-09-27,13.3472
2024-09-28,12.0208
2024-09-29,12.8373
2024-09-30,16.3094
2024-10-01,8.3244
2024-10-02,11.0602
2024-10-03,9.1893
2024-10-04,12.8006
2024-10-05,9.6765
2024-10-06,35.4118
2024-10-07,27.8261
2024-10-08,20.8809
2024-10-09,15.1783
2024-10-10,14.2086
2024-10-11,16.9473
2024-10-12,10.3649
2024-10-13,12.9979
2024-10-14,14.6578
2024-10-15,14.0595
2024-10-16,12.9911
2024-10-17,8.2658
2024-10-18,12.4885
2024-10-19,12.3829
2024-10-20,49.4484
2024-10-21,26.9833
2024-10-22,18.1133
2024-10-23,19.1191
2024-10-24,11.6289
2024-10-25,12.577
2024-10-26,12.5254
2024-10-27,14.2588
2024-10-28,12.4528
2024-10-29,11.5225
2024-10-30,9.2029
2024-10-31,11.1196
2024-11-01,10.4334
2024-11-02,10.3974
2024-11-03,52.0615
2024-11-04,25.991
2024-11-05,12.3789
2024-11-06,18.1309
2024-11-07,11.744
2024-11-08,8.7095
2024-11-09,14.4132
2024-11-10,30.7719
2024-11-11,23.9921
2024-11-12,16.6216
2024-11-13,19.0902
2024-11-14,15.7564
2024-11-15,14.4902
2024-11-16,19.0488
2024-11-17,44.2015
2024-11-18,24.8626
2024-11-19,21.1986
2024-11-20,21.2189
2024-11-21,13.3105
2024-11-22,13.8632
2024-11-23,15.8474
2024-11-24,29.9962
2024-11-25,25.3901
2024-11-26,15.995
2024-11-27,12.9807
2024-11-28,15.647
2024-11-29,10.6006
2024-11-30,11.6946
2024-12-01,36.3231
2024-12-02,30.8941
2024-12-03,22.3591
2024-12-04,15.47
2024-12-05,15.1107
2024-12-06,8.7094
2024-12-07,9.1946
2024-12-08,27.822
2024-12-09,22.3545
2024-12-10,15.6615
2024-12-11,21.4475
2024-12-12,11.3905
2024-12-13,13.1879
2024-12-14,10.2299
2024-12-15,10.9609
2024-12-16,10.3799
2024-12-17,15.6841
2024-12-18,11.2669
2024-12-19,13.1009
2024-12-20,11.8906
2024-12-21,7.35
2024-12-22,32.3953
2024-12-23,22.5009
2024-12-24,16.7239
2024-12-25,19.3009
2024-12-26,16.7187
2024-12-27,17.8702
2024-12-28,15.9804
2024-12-29,13.9892
